State,Sector,Claim_Type,Confidence_Score,If_predict
AL,11,initial,,False
AL,21,initial,,False
AL,22,initial,,False
AL,23,initial,,False
AL,31,initial,,False
AL,42,initial,,False
AL,44,initial,,False
AL,48,initial,,False
AL,51,initial,,False
AL,52,initial,,False
AL,53,initial,,False
AL,54,initial,,False
AL,56,initial,,False
AL,61,initial,,False
AL,62,initial,,False
AL,71,initial,,False
AL,72,initial,,False
AL,81,initial,,False
AL,92,initial,,False
AK,11,initial,0.277,True
AK,21,initial,0.737,True
AK,22,initial,0.351,True
AK,23,initial,0.574,True
AK,31,initial,0.72,True
AK,42,initial,0.805,True
AK,44,initial,0.567,True
AK,48,initial,0.599,True
AK,51,initial,0.263,True
AK,52,initial,0.553,True
AK,53,initial,0.511,True
AK,54,initial,0.847,True
AK,56,initial,0.633,True
AK,61,initial,0.779,True
AK,62,initial,0.554,True
AK,71,initial,0.373,True
AK,72,initial,0.846,True
AK,81,initial,0.824,True
AK,92,initial,0.513,True
AZ,11,initial,,False
AZ,21,initial,,False
AZ,22,initial,,False
AZ,23,initial,,False
AZ,31,initial,,False
AZ,42,initial,,False
AZ,44,initial,,False
AZ,48,initial,,False
AZ,51,initial,,False
AZ,52,initial,,False
AZ,53,initial,,False
AZ,54,initial,,False
AZ,56,initial,,False
AZ,61,initial,,False
AZ,62,initial,,False
AZ,71,initial,,False
AZ,72,initial,,False
AZ,81,initial,,False
AZ,92,initial,,False
AR,11,initial,0.317,True
AR,21,initial,0.609,True
AR,22,initial,0.597,True
AR,23,initial,0.791,True
AR,31,initial,0.668,True
AR,42,initial,0.605,True
AR,44,initial,0.653,True
AR,48,initial,0.514,True
AR,51,initial,0.284,True
AR,52,initial,0.293,True
AR,53,initial,0.909,True
AR,54,initial,0.837,True
AR,56,initial,0.457,True
AR,61,initial,0.872,True
AR,62,initial,0.616,True
AR,71,initial,0.322,True
AR,72,initial,0.849,True
AR,81,initial,0.659,True
AR,92,initial,0.903,True
CA,11,initial,,False
CA,21,initial,,False
CA,22,initial,,False
CA,23,initial,,False
CA,31,initial,,False
CA,42,initial,,False
CA,44,initial,,False
CA,48,initial,,False
CA,51,initial,,False
CA,52,initial,,False
CA,53,initial,,False
CA,54,initial,,False
CA,56,initial,,False
CA,61,initial,,False
CA,62,initial,,False
CA,71,initial,,False
CA,72,initial,,False
CA,81,initial,,False
CA,92,initial,,False
CO,11,initial,0.725,True
CO,21,initial,0.316,True
CO,22,initial,0.686,True
CO,23,initial,0.801,True
CO,31,initial,0.879,True
CO,42,initial,0.482,True
CO,44,initial,0.62,True
CO,48,initial,0.741,True
CO,51,initial,0.367,True
CO,52,initial,0.844,True
CO,53,initial,0.797,True
CO,54,initial,0.285,True
CO,56,initial,0.664,True
CO,61,initial,0.508,True
CO,62,initial,0.38,True
CO,71,initial,0.673,True
CO,72,initial,0.928,True
CO,81,initial,0.636,True
CO,92,initial,0.329,True
CT,11,initial,,False
CT,21,initial,,False
CT,22,initial,,False
CT,23,initial,,False
CT,31,initial,,False
CT,42,initial,,False
CT,44,initial,,False
CT,48,initial,,False
CT,51,initial,,False
CT,52,initial,,False
CT,53,initial,,False
CT,54,initial,,False
CT,56,initial,,False
CT,61,initial,,False
CT,62,initial,,False
CT,71,initial,,False
CT,72,initial,,False
CT,81,initial,,False
CT,92,initial,,False
DE,11,initial,0.596,True
DE,21,initial,0.795,True
DE,22,initial,0.919,True
DE,23,initial,0.751,True
DE,31,initial,0.279,True
DE,42,initial,0.927,True
DE,44,initial,0.671,True
DE,48,initial,0.309,True
DE,51,initial,0.339,True
DE,52,initial,0.31,True
DE,53,initial,0.715,True
DE,54,initial,0.358,True
DE,56,initial,0.815,True
DE,61,initial,0.326,True
DE,62,initial,0.625,True
DE,71,initial,0.56,True
DE,72,initial,0.277,True
DE,81,initial,0.252,True
DE,92,initial,0.882,True
DC,11,initial,0.934,True
DC,21,initial,0.337,True
DC,22,initial,0.764,True
DC,23,initial,0.942,True
DC,31,initial,0.883,True
DC,42,initial,0.87,True
DC,44,initial,0.486,True
DC,48,initial,0.752,True
DC,51,initial,0.599,True
DC,52,initial,0.906,True
DC,53,initial,0.742,True
DC,54,initial,0.841,True
DC,56,initial,0.85,True
DC,61,initial,0.52,True
DC,62,initial,0.749,True
DC,71,initial,0.315,True
DC,72,initial,0.394,True
DC,81,initial,0.906,True
DC,92,initial,0.533,True
FL,11,initial,,False
FL,21,initial,,False
FL,22,initial,,False
FL,23,initial,,False
FL,31,initial,,False
FL,42,initial,,False
FL,44,initial,,False
FL,48,initial,,False
FL,51,initial,,False
FL,52,initial,,False
FL,53,initial,,False
FL,54,initial,,False
FL,56,initial,,False
FL,61,initial,,False
FL,62,initial,,False
FL,71,initial,,False
FL,72,initial,,False
FL,81,initial,,False
FL,92,initial,,False
GA,11,initial,,False
GA,21,initial,,False
GA,22,initial,,False
GA,23,initial,,False
GA,31,initial,,False
GA,42,initial,,False
GA,44,initial,,False
GA,48,initial,,False
GA,51,initial,,False
GA,52,initial,,False
GA,53,initial,,False
GA,54,initial,,False
GA,56,initial,,False
GA,61,initial,,False
GA,62,initial,,False
GA,71,initial,,False
GA,72,initial,,False
GA,81,initial,,False
GA,92,initial,,False
HI,11,initial,0.73,True
HI,21,initial,0.653,True
HI,22,initial,0.432,True
HI,23,initial,0.66,True
HI,31,initial,0.889,True
HI,42,initial,0.479,True
HI,44,initial,0.493,True
HI,48,initial,0.38,True
HI,51,initial,0.374,True
HI,52,initial,0.829,True
HI,53,initial,0.744,True
HI,54,initial,0.925,True
HI,56,initial,0.719,True
HI,61,initial,0.921,True
HI,62,initial,0.405,True
HI,71,initial,0.381,True
HI,72,initial,0.402,True
HI,81,initial,0.519,True
HI,92,initial,0.943,True
ID,11,initial,,False
ID,21,initial,,False
ID,22,initial,,False
ID,23,initial,,False
ID,31,initial,,False
ID,42,initial,,False
ID,44,initial,,False
ID,48,initial,,False
ID,51,initial,,False
ID,52,initial,,False
ID,53,initial,,False
ID,54,initial,,False
ID,56,initial,,False
ID,61,initial,,False
ID,62,initial,,False
ID,71,initial,,False
ID,72,initial,,False
ID,81,initial,,False
ID,92,initial,,False
IL,11,initial,0.407,True
IL,21,initial,0.571,True
IL,22,initial,0.293,True
IL,23,initial,0.269,True
IL,31,initial,0.632,True
IL,42,initial,0.679,True
IL,44,initial,0.608,True
IL,48,initial,0.89,True
IL,51,initial,0.853,True
IL,52,initial,0.916,True
IL,53,initial,0.655,True
IL,54,initial,0.434,True
IL,56,initial,0.341,True
IL,61,initial,0.785,True
IL,62,initial,0.358,True
IL,71,initial,0.254,True
IL,72,initial,0.739,True
IL,81,initial,0.337,True
IL,92,initial,0.686,True
IN,11,initial,,False
