GEOID,Unemployment_Risk,DATE,Sector,Confidence_Score,If_predict
01001,0.1351,2019-01,11,0.475,True
01001,0.0963,2019-01,21,,False
01001,0.2477,2019-01,22,0.711,True
01001,0.0962,2019-01,23,,False
01001,0.225,2019-01,31,,False
01001,0.2418,2019-01,42,,False
01001,0.1141,2019-01,44,,False
01001,0.2072,2019-01,48,,False
01001,0.0535,2019-01,51,0.656,True
01001,0.181,2019-01,52,,False
01001,0.0143,2019-01,53,,False
01001,0.1674,2019-01,54,0.883,True
01001,0.0141,2019-01,56,0.939,True
01001,0.0857,2019-01,61,,False
01001,0.1743,2019-01,62,,False
01001,0.0859,2019-01,71,0.591,True
01001,0.0101,2019-01,72,,False
01001,0.0185,2019-01,81,,False
01001,0.1199,2019-01,92,0.645,True
01001,0.0266,2019-02,11,,False
01001,0.0293,2019-02,21,0.877,True
01001,0.1178,2019-02,22,,False
01001,0.14,2019-02,23,,False
01001,0.1338,2019-02,31,,False
01001,0.1014,2019-02,42,0.63,True
01001,0.1974,2019-02,44,0.928,True
01001,0.0294,2019-02,48,0.553,True
01001,0.1752,2019-02,51,,False
01001,0.0119,2019-02,52,,False
01001,0.1994,2019-02,53,0.606,True
01001,0.1631,2019-02,54,0.841,True
01001,0.0766,2019-02,56,,False
01001,0.0449,2019-02,61,0.757,True
01001,0.1605,2019-02,62,,False
01001,0.1511,2019-02,71,0.492,True
01001,0.2063,2019-02,72,0.841,True
01001,0.1072,2019-02,81,,False
01001,0.1281,2019-02,92,,False
01001,0.2413,2019-03,11,,False
01001,0.2348,2019-03,21,,False
01001,0.0606,2019-03,22,0.75,True
01001,0.0944,2019-03,23,0.957,True
01001,0.0589,2019-03,31,,False
01001,0.147,2019-03,42,0.46,True
01001,0.0182,2019-03,44,0.576,True
01001,0.0767,2019-03,48,0.494,True
01001,0.0745,2019-03,51,0.631,True
01001,0.0526,2019-03,52,,False
01001,0.0822,2019-03,53,,False
01001,0.1843,2019-03,54,,False
01001,0.1405,2019-03,56,,False
01001,0.1596,2019-03,61,,False
01001,0.1163,2019-03,62,,False
01001,0.1564,2019-03,71,,False
01001,0.2336,2019-03,72,,False
01001,0.2075,2019-03,81,,False
01001,0.0361,2019-03,92,,False
01001,0.2141,2019-04,11,,False
01001,0.1448,2019-04,21,,False
01001,0.1436,2019-04,22,0.971,True
01001,0.2229,2019-04,23,,False
01001,0.1862,2019-04,31,0.452,True
01001,0.1385,2019-04,42,,False
01001,0.0373,2019-04,44,,False
01001,0.0634,2019-04,48,0.77,True
01001,0.0589,2019-04,51,0.757,True
01001,0.2187,2019-04,52,0.492,True
01001,0.0191,2019-04,53,0.899,True
01001,0.0255,2019-04,54,,False
01001,0.1406,2019-04,56,0.894,True
01001,0.1456,2019-04,61,0.616,True
